Contract,Project Name,Location,PE,Inv No.,Date Invoice Created,Date Project Completions handed over,PC Request Date Submitted,Variation Request submitted,Variation Approval,PC Due,Payment Date,Month Claimed,Actual Payment Date,Maximo work order,FSAM/MPS,Suburb,CSPO Amount,Variation,Total Revenue,GST Inc,DJC Cost,Internal DJC Cost,Total Cost,Margin,%,NBN PO/PM,Project Quote Submitted,Project Award Date,Days to Award,Customer required date,Difference CRD to Award
A417 New Devs,A417 Greenfield MDU,Sydney,Dane Harrington,Inv 14618,16/01/2019,01/11/2018,05/11/2018,13/11/2018,18/12/2018,19/11/2018,10/01/2019,Nov-18,Jan-19,,MW417R000129-AYCA-4CG9U4-2KNS-04-29-31 Dunning Avenue Rosebery ,Roseberry,"$1,263.00","$5,374.42","$6,637.42"," $	7,301.16 ",,,$0.00,"$6,637.42",100%,Ertan Cicek,Direct Award,11/06/2018,,30/08/2018,80d
A417 New Devs,A417 Greenfield MDU,Sydney Nth,Mickey Tran,,,,30/12/2019,,,,,Dec-19,Jan-00,,"MW22096-AYCA-3W384B-2HOR-62-433-437 Pacific Highway, Asquith ",Asquith,"$1,358.92",,"$1,358.92"," $	1,494.81 ",,,$0.00,"$1,358.92",100%,Ertan Cicek,Direct Award,28/03/2018,,24/04/2018,27d
A417 New Devs,A417 Greenfield MDU,Sydney Nth,Mickey Tran,,,,30/06/2019,,,,,Jun-19,Jan-00,,"MW22095-AYCA-4H8EZO- 2HUH-22-117-123 Victoria Rd, Gladesville",Gladesville,"$1,828.86",,"$1,828.86"," $	2,011.75 ",$300.00,,$300.00,"$1,528.86",84%,Ertan Cicek,Direct Award,29/03/2018,,24/04/2018,26d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 14002,09/08/2018,13/07/2018,13/07/2018,16/07/2018,31/07/2018,27/07/2018,09/08/2018,Jul-18,Aug-18,,"MW22093-AYCA-4RGB2W-2EAS-62-111-139 Darlinghurst Rd, Potts Point",Potts Point,"$1,428.48","$11,165.86","$12,594.34"," $	13,853.77 ","$6,326.50",$451.60,"$6,778.10","$5,816.24",46%,Ertan Cicek,Direct Award,29/03/2018,,24/04/2018,26d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 13696,06/06/2018,14/05/2018,15/05/2018,18/05/2018,25/05/2018,29/05/2018,05/06/2018,May-18,Jun-18,,MW22104-AYCA-4DRN0U-2BRG-03-182 Raby Road Gledswood Hills,Gledswood Hills,$69.16,$524.42,$593.58, $	652.94 ,,,$0.00,$593.58,100%,Ertan Cicek,Direct Award,04/04/2018,,16/05/2018,42d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 13592,21/06/2018,01/06/2018,01/06/2018,01/06/2018,05/06/2018,14/06/2018,22/06/2018,Jun-18,Jun-18,,MW22200-AYCA-213H8O-2DAP-01-1 Wongawilli Road Wongawilli The Grove- Stage 4,Wongawilli,$110.88,$544.42,$655.30, $	720.83 ,,,$0.00,$655.30,100%,Ertan Cicek,Direct Award,10/04/2018,,18/05/2018,38d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 14054,22/08/2018,31/07/2018,31/07/2018,,,14/08/2018,22/08/2018,Jul-18,Aug-18,,MW22532-AYCA-55KUFO-2MIR-22-31 Bay Road Taren Point ,Taren Point,"$2,382.07",,"$2,382.07"," $	2,620.28 ","$2,463.42",,"$2,463.42",-$81.35,-3%,Ertan Cicek,Direct Award,30/05/2018,,29/08/2018,91d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 13848,06/07/2018,19/06/2018,19/06/2018,19/06/2018,25/06/2018,03/07/2018,10/07/2018,Jun-18,Jul-18,,MW22177-AYCA-54QSHT-2MIL-20-42A Kurrajong Rd Prestons ,Prestons,$285.60,$512.56,$798.16, $	877.98 ,,,$0.00,$798.16,100%,Nabeel Jaimon,Direct Award,11/04/2018,,20/05/2018,39d
A417 New Devs,A417 Greenfield MDU,Sydney,Mickey Tran,Inv 13638,22/05/2018,07/05/2018,07/05/2018,,,17/05/2018,22/05/2018,May-18,May-18,,MW22203-AYCA-2LIFV6-2ROU-02-4 Stringer Rd Kellyville,Kellyville,"$1,784.38",,"$1,784.38"," $	1,962.82 ",,,$0.00,"$1,784.38",100%,Ertan Cicek,Direct Award,12/04/2018,,30/05/2018,48d
A417 RFQ,A417 RFQ New Devs,Sydney,Mickey Tran,Inv 13634,22/05/2018,03/05/2018,03/05/2018,,,17/05/2018,22/05/2018,May-18,May-18,,"MW22183-AYCA-55F4KR-2REV-20-15 Fitzpatrick St, Revesby",Revesby,"$3,090.06",,"$3,090.06"," $	3,399.07 ",,$380.18,$380.18,"$2,709.88",88%,Ertan Cicek,10/04/2018,13/04/2018,3d,08/06/2018,56d
