Contract,Rate Card,Proejct Title,Job Title,Line Item Type,Qty
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CIU-039,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CIU-042,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CIU-046,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CIU-050,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CIU-054,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CIU-058,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CIU-062,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CIU-063,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CIU-066,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CIU-067,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CIU-068,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CIU-069,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CIU-070,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CIU-071,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CIU-074,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CIU-079,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CIU-083,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CIU-087,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CIU-091,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CIU-095,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CIU-099,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CIU-103,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CIU-107,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CIU-111,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CIU-115,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CIU-119,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CIU-123,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CIU-127,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CIU-131,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-CIU-135,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
