,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Amount,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,5/13/18,5/26/18,6/1/18,6/7/18,6/19/18,6/20/18,6/26/18,6/27/18,6/30/18,7/1/18,7/5/18,7/11/18,7/16/18,7/25/18,7/26/18,7/31/18,8/13/18,8/31/18,9/3/18,9/5/18,9/11/18,9/17/18,9/20/18,9/24/18,9/25/18,9/28/18,9/30/18,10/1/18,10/12/18,10/16/18,10/25/18,10/29/18,10/31/18,11/1/18,11/6/18,11/22/18,11/23/18,11/26/18,11/30/18,12/10/18,12/31/18,(blank),Grand Total,
MW22477 - AYCA-4XVGZ8 -  2WYO-03 -140 Pacific Highway Tuggerah," $	2,358.27 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW22478 - AYCA-501QN5 - 2CAS-23 - 30 Pentonville Parade, Castle Hill "," $	1,826.69 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22505-AYCA-4KBL5R-2KNS-03-14-18 Primrose Ave & 27-29 Roseberry Ave Rosberry ," $	5,402.87 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22513 - AYCA-4JW63S - 2CRO-21 - 25-29 Tonkin St Cronulla," $	2,685.67 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22520-AYCA-48OYT0-2EDG-65-240 New South Head Road Edgecliff , $	285.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22526-AYCA-4T7JU2-2MIR-25-13 Dudley Avenue Caringbah South ," $	3,866.63 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22531-AYCA-413Z64-2PAR-64-2B Darcy Rd Westmead ," $	2,853.04 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22532-AYCA-55KUFO-2MIR-22-31 Bay Road Taren Point ," $	2,463.42 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22548-AYCA-48V6NM-2PTH-05-Lord Sheffield Circuit Penrith," $	25,943.58 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22573-AYCA-LYHJJ-2MTT-02-10 Cardigan St Mittagong , $	986.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW22575-AYCA-4LHC6F-2DBB-01-30 Ritz Pl Dubbo," $	2,737.54 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000034-AYCA-44MH0G-2RYD-63-133-137 Bowden Street Meadowbank ," $	5,626.51 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000049-AYCA-24QAXK-2ROC-03-10 Martin Avenue Arncliffe," $	5,927.53 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000051-AYCA-55JW1J-2BOT-01-180 – 188 Maroubra Rd, Maroubra "," $	3,524.25 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000052-AYCA-44H3AU-2STL-65-13 Marshall Avenue St Leonards ," $	9,004.63 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000065- AYCA-59DV6W-2CRR-72-Nelson St, Fairfield"," $	1,502.68 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000067 - AYCA-51V8JL - 2MUS-03 - 11 Thomas Mitchell Dr, Muswellbrook", $	-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000070-AYCA-52UC2N-2WRO-63-Beech Rd Casula ," $	7,183.72 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000091-AYCA-57S6JD-2REV-20-50/42 Violet St Revesby ," $	3,384.13 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MW417R000098-AYCA-4TC0MT-2QUA-65-50 Farnham Rd, Quakers Hill"," $	17,562.26 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW417R000124-AYCA-58BKNK-2RYD-66-2-6 Junction St Ryde," $	1,932.82 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
