Request ID,Name,Application Name,Active Status,Application Status,No. of Premises,Technology Deployed,State,Suburb,Address,Post Code,Finance Project Number,Build Type(s),Estimated First Service Connection Date,Pathway Design Status,Trans / Dist NDD Status,Trans / Dist Contract Type,Trans / Dist Order Status,Trans / Dist WR/WI Issued Date,CLAAN Status,NBN Co Project Manager (Trans / Dist),Supplier (Trans / Dist)
AYCA-31DCKF,2EAS-64,Advanx Encore - 1,Active,Supply Order Raised,40,FTTP – Type 2,NSW,Darlinghurst,18-20 Neild Ave,2010,175959,B + E,11/9/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,5/1/18 12:00,,Lindy Chan,Datateks
AYCA-523PM8,9MNK-01,crn beaconsfield & leonora stbob - 1,Active,Supply Order Raised,14,FTTP – Type 3 (MT-LFN),ACT,Fyshwick,8 Beaconsfield St,2609,177812,B + E,11/12/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,6/7/18 12:00,CLAAN Sent to DP,Ertan Cicek,Datateks
AYCA-21R8AP,2WLG-07,12-14 New Dapto Rd Wollongong - 1,Active,Supply Order Raised,38,FTTP – Type 2,NSW,Wollongong,12-14 New Dapto Road,2500,175987,B + E,11/17/18,Design Accepted,Completed (No Telstra Duct),MWA - SOPR,WI Issued,7/5/18 12:00,CLAAN Sent to DP,Ertan Cicek,Datateks
AYCA-4QHVO8,2CHL-07,Gateshead Stage 2 Industrial Units - 1,Active,Supply Order Raised,16,FTTP – Type 3 (MT-LFN),NSW,Gateshead,13-15 Pacific Hwy,2290,179863,B + E,11/21/18,Design Accepted,Reservation Response Received,MWA - SOPR,DCE Generated,,CLAAN Sent to LASE,Ertan Cicek,Datateks
AYCA-4X1Z9M,2MIR-26,Mooki St - 1,Active,Supply Order Raised,6,FTTP – Type 3 (MT-LFN),NSW,Miranda,58/60 Karimbla Rd,2228,173160,B + E,11/22/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,7/5/18 12:00,CLAAN Sent to DP,Ertan Cicek,Datateks
AYCA-2V9V2D,2HOR-63,Cowan Road Residential Development - 1,Active,Supply Order Raised,50,FTTP – Type 2,NSW,Mount Colah,2 Cowan Road & 540A-542 Pacific Highway,2079,157215,B + E,11/23/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,7/5/18 12:00,CLAAN Sent to DP,Ertan Cicek,Datateks
AYCA-57DG41,2BTH-01,Opal Bathurst Aged Care Facility - 1,Active,Supply Order Raised,4,FTTP – Type 2,NSW,Bathurst,93 Stanley St,2795,180126,B + E,11/23/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,,CLAAN Sent to LASE,Ertan Cicek,Datateks
AYCA-42N8QF,2PEN-67,Macklin 38 - 1,Active,Supply Order Raised,17,FTTP – Type 2,NSW,Pendle Hill,38-40 Macklin Street,2145,161792,B + E,11/26/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,2/23/18 12:00,,Ertan Cicek,Datateks
AYCA-55RMFH,2WET-23,Novella Function Centre - 1,Active,Developer Contract Signed,5,FTTP – Type 3 (MT-LFN),NSW,Abbotsbury,1521 The Horsley Dr,2176,181730,B + E,11/29/18,Design Accepted,Reservation Response Received,MWA - SOPR,DCE Generated,,CLAAN Sent to LASE,,Datateks
AYCA-30GQWB,2ROU-02,Kellyville Apartments Withers Rd - 1,Active,Developer Contract Signed,80,FTTP – Type 2,NSW,Kellyville,16-20 Withers Rd,2155,162079,B + E,11/30/18,Design Accepted,Completed (No Telstra Duct),MWA - SOPR,DCE Generated,,CLAAN Sent to LASE,Ertan Cicek,Datateks
AYCA-3D0J11,2ROC-02,Aspect - 1,Active,Supply Order Raised,90,FTTP – Type 2,NSW,Wolli Creek,15-21 Willis St,2205,153465,B + E,11/30/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,6/8/18 21:30,CLAAN Sent to DP,Ertan Cicek,Datateks
