,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Amount,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/13/18,5/26/18,5/31/18,6/1/18,6/7/18,6/19/18,6/20/18,6/26/18,6/27/18,6/30/18,7/1/18,7/5/18,7/31/18,Grand Total,
MW21464 - 2NRN-03 - AYCA-4EAKM1-63 SGR - 1- EXTERNAL," $	2,292.46 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21471 - AYCA-2T1HEY -2KIL-63 - RIDGE CENTRE - 1-E XTERNAL ," $	3,014.20 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21472 -  AYCA-4G5CSP - 2GRK-01 - 20 Stanley Street Wyongah," $	1,651.66 ",,,,,,,,,,,,,,,,,,,,,,,,
"MW21473 - AYCA-3TNJ90-64 - 2ERN-03 - James Sea Drive, Green Point"," $	5,884.29 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21478-AYCA-4PIZ8V  -2MYF-02 - The Furnace - 1 – EXTERNAL    ," $	1,746.62 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21483 - AYCA-2Y1KQS - Charles Banks – 1- EXTERNAL," $	5,541.28 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21484 - AYCA-2CO7SU - 2ARM-04 - Brown - 1," $	4,794.10 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21493 - AYCA-3O0SC6 - 2PTH-02 - Hope Gardens - 1," $	5,244.89 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21505-AYCA-2AS459-2LID-05 -22-26 Ann Street Lidcombe," $	9,312.63 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21512 - AYCA-4IUR86 - 2NLT-09 - Clarendene - 1," $	3,626.80 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21521-AYCA-1OHQX6 -2ROU-02-Lake Promenade - Building C- EXTERNAL," $	3,361.68 ",,,,,,,,,,,,,,,,,,,,,,,,
MW21523 - 2EPP-62 - AYCA-20PHAM-20-28 CAMBRIDGE ST EPPING," $	4,395.14 ",,,,,,,,,,,,,,,,,,,,,,,,
