,,,"$116,745.60","$735,167.78",,,,,Days average for PC Accpetance,,"$169,644.79",$0.00,,,,,,,,,,,,,,,,
Date,PM,Site Name,Pending on Outcome,Quoted Sum Won,Comments,PC Request Submit Date,PC Due Date,PC Cert issued,Date PC Approved,Day difference between PC Request and PC Granted,Quoted Sum Loss,Tech Choices Projects Yet award,Won Less than $2K,Won Greater than 2K to 5K,Won Greater than 5K,,,,Row Labels,Count of Quoted Sum Won,Count of Won Less than $2K,Count of Won Greater than 2K to 5K,Count of Won Greater than 5K,Total Jobs Per PM,Win % per PM,,,
4/6/18,Ertan Cicek,MW22186 - 2CAS-23 - AYCA-3L48XJ - Mercedes Benz Castle Hill - 1,,"$4,057.47",,,,,,,,,,,,,,,,,,,,,,,,
4/6/18,Ertan Cicek,MW22191 - 2MIL-20 - AYCA-4Z4FSB - Mainfreight Logistics - 1,,"$41,413.66",,,,,,,,,,,,,,,,,,,,,,,,
4/10/18,Sogand Mohat,MW22208-2KEL-07-AYCA-4PWSOZ-1B Fairway Dr Kellyville,,"$7,979.71",,,,,,,,,,,,,,,,,,,,,,,,
4/13/18,Sogand Mohat,MW22239 - 2KTB-01 - AYCA-552R88 - Lot33-36 The Escarpments - 1,,"$4,434.76",,,,,,,,,,,,,,,,,,,,,,,,
4/10/18,Sogand Mohat,MW22209-2ORG-02-AYCA-48LNJ7-Cedar St Orange,,"$7,615.85",,,,,,,,,,,,,,,,,,,,,,,,
4/18/18,Nabeel Jaimon,MW22264-2WAG-05-AYCA-4YPT3F-145129 - 145 Hammond Ave East Wagga,,"$1,065.00",,,,,,,,,,,,,,,,,,,,,,,,
4/18/18,Andrew Mahassy,"MW22288-2MIL-04-AYCA-4R7UP6-40 Government Rd, Hinchinbrook",,"$8,639.27",,,,,,,,,,,,,,,,,,,,,,,,
4/27/18,Dave Yoemans,MW22472 - AYCA-4Q0G0C-2PTM-23 -20 Scarborough Close Port Macquarie ,,"$8,773.80",,,,,,,,,,,,,,,,,,,,,,,,
4/25/18,Mark Leal,MW22336 - 2KMS-21 - AYCA-4MJKV1 - Springfields Drive - 1 ,,"$7,769.35",,,,,,,,,,,,,,,,,,,,,,,,
4/25/18,Mark Leal,MW22335 - 2WOY-03 - AYCA-55S741 - Broken Bay – 1,,"$4,540.06",,,,,,,,,,,,,,,,,,,,,,,,
