Item Number,Contract,Project Name,Document Name,Issue,Date Submitted,Response Date,Number of days since response submission,Number of days from payment Schedule to payment,Variation Claim Amount,Total Payment Claim Amount,Comments,,Date,,,,Clause 15.9 & 19.7 Payment 15 days from submission of payment claim,The average payment date timeframe from submission of payment claim to payment in the last 7 months  is 26 days.  Contracted 15 days
789,A417 MDU New Devs,MW20917 - AYCA-3A485K -2LID-03 -  Lidbury Street Berala - 1 - EXTERNAL,Payment Claim,Payment Schedule Received,5/31/18,6/6/18,6d,1d,,,Payment Date 07/06/18,,6/7/18,,,,,
790,A401 Greenfields,MW22477 - AYCA-4XVGZ8 -  2WYO-03 -140 Pacific Highway Tuggerah,Request for PC,Approved,5/31/18,6/14/18,14d,,,,,,,,,,,
791,A417 MDU New Devs,"MW22260-AYCA-56YKSC-2CAM-02-38 Wonga St, Canterbury",Payment Claim,Payment Schedule Received,5/31/18,6/4/18,4d,,,,Payment Date ????,,,,,,,
792,A417 MDU New Devs,MW22454-AYCA-2CVKCU-2ROT-60-60 Wallgrove Rd Easter Creek ,Request for PC,Approved,5/31/18,6/14/18,14d,,,,,,,,,,,
793,A417 MDU New Devs,MW22454-AYCA-2CVKCU-2ROT-60-60 Wallgrove Rd Easter Creek ,Payment Claim,Payment Schedule Received,6/15/18,6/20/18,5d,2d,,,Payment date 22/6/18,,6/22/18,,,,,
794,A417 MDU New Devs,"MW21970-AYCA-4YZGFK-2PEN-66-51 Boronia St, South Wentworthville",Variation Proposal,Approved,5/31/18,6/5/18,5d,,,,,,,,,,,
795,A417 MDU New Devs,MW22347-AYCA-4XTH50-2HOM-03-31-35 Smallwood Ave Homebush ,Variation Proposal,Approved,5/31/18,6/19/18,19d,,,,,,,,,,,
796,A401 Greenfields,"MW22478 - AYCA-501QN5 - 2CAS-23 - 30 Pentonville Parade, Castle Hill ",Variation Proposal,Approved,5/31/18,6/5/18,5d,,,,,,,,,,,
797,A401 Greenfields,MW20507 - AYCA-2Y5DX4 - Bridgeland Investment,Payment Claim,Payment Schedule Received,5/31/18,6/4/18,4d,,,,,,,,,,,
798,A417 MDU New Devs,MW22223-AYCA-4S0RD5-2RIV-03-14 Argowan Rd Schofields,Payment Claim,Payment Schedule Received,6/4/18,6/5/18,1d,2d,,,Payment Date  7/6/18,,6/7/18,,,,,
