,,,,,,,,,,
,,,,,,,,,,
,Row Labels,Sum of Total Revenue,,,,,Row Labels,Sum of Debit,,
,MW20688 - AYCA-42LEI4 - MNR Investment Group Pty Ltd - 1 ,"$4,344.42",,,,,,,,
,MW20876 - SOPR MWI - 2RIV-02 - 34-36 Schofields - North Park - 10,$957.28,,,,,,,,
,MW20877 - 2RIV-02 - 34-36 Schofields - North Park  - 9,$514.97,,,,,,,,
,MW20882 - 2BLK-07 - AYCA-468EU5 - 299 Flushcombe - 1,$980.54,,,,,,,,
,MW20898 - 2MIL-01 -AYCA-45L86C-Non Standard Builds - Zulu Road – Build,"$1,138.70",,,,,,,,
,MW20730 - AYCA-3ZFK8V - 2NRN-10 - 11-19 Waler ,"$12,365.60",,,,,,,,
,MW20627 - AYCA-40UYFT - 2PKE-06 - Berkeley ,"$9,370.88",,,,,,,,
,MW20436 - AYCA-3B8YY0 - Warrana Place – 2,"$14,329.40",,,,,,,,
,"MW20814 - 2NLB-05  - AYCA-4E7Y0D - Albatross Ave and Cu, Survey","$1,365.00",,,,,,,,
,Oct-17,"$220,128.16",,,,,,,,
,ICQ-315 IPT2073 WSU Parramatta Square Western Lead-in,"$68,329.85",,,,,,,,
,MW20677 - AYCA-3ENYEX - Cleopatra St Blackheath,"$2,738.31",,,,,,,,
,"MW20812 - 2WLG-01 - 2LIV-04 - Crown, Kembla, Macquarie, George","$19,825.00",,,,,,,,
,MW20833 - 2RIV-02 - AYCA-334H1X - The Maples - 4,"$1,725.75",,,,,,,,
,MW20939 - 2PEN-64 - AYCA-2Y4BYB -344 GWH Wentworthville – 1- EXTERNAL,"$3,914.86",,,,,,,,
,MW20951   - 2ROU-03 - AYCA-486V6Q  - Non Standard Builds - McCarthy Street ,"$13,999.09",,,,,,,,
,MW21067 - 2PTH-01 - AYCA-3VF189 - 293-295 Jamison - 1,"$2,349.73",,,,,,,,
,MW21074 - 2ABN-01 - AYCA-461JCF - 8 Creole Road,"$6,235.29",,,,,,,,
,MW21250 - AYCA-4BEC9X-2LIV-68-The Birdwood,"$6,777.19",,,,,,,,
,MW21221 - 2CRO-01 - AYCA-1UEMOR - Shearwater Landing,$980.54,,,,,,,,
,MW21072 - 2PKS-20 - AYCA-49I4SO - 72 Brolgan Road ,"$9,170.67",,,,,,,,
,MW20905 - 2NLT-09 - AYCA-47ENGU - 16 WALL – 1,"$11,617.08",,,,,,,,
,MW21284 - 9DKI-07 - AYCA-3ZXA9V - 10 BAKEWELL ST -  COOMBS,"$21,131.11",,,,,,,,
,MW20865 - 2NWR-03 - AYCA-2K3SGD - Elian Crescent 1.,"$10,692.61",,,,,,,,
,MW21015 - AYCA-1Z6XAC -1-9 Florence Street & 19-23 Quinn Street ,"$35,475.03",,,,,,,,
,MW21032 - AYCA-4L57RB - 2MDG-01 -NSB - Bateman Ave Mudgee,"$1,760.00",,,,,,,,
,MW20106 - 2ROU-02 - AYCA-30C7IB - Hillview Rise - 6,"$1,063.49",,,,,,,,
,MW21430 - 2RIV-02 - AYCA-3347PM - The Maples - 3 ,$697.93,,,,,,,,
,MW21205 - 2RIV-02 - AYCA-3349N6 - Schofields Farm Road - The Maples 2,"$1,644.63",,,,,,,,
,Mar-18,"$214,955.03",,,,,,,,
,MW20495 - 2CBT-09 - MPS-01 - FTTN-FTTB Construction ,"$12,264.47",,,,,,,,
,MW20507 - AYCA-2Y5DX4 - Bridgeland Investment,"$6,265.77",,,,,,,,
,MW20698 - AYCA-1SQ3K5 - 189 Macquarie Street,"$1,056.78",,,,,,,,
,"MW20778 - AYCA-40UXV5 - 163 Parker St, South Penrith Ext","$1,571.26",,,,,,,,
,MW20888 - 2HOR-62 - AYCA-39AB50 -2HOR-62 -JAAN – 1,"$1,035.19",,,,,,,,
,MW21053 - 2MAI-04 - AYCA-38QQO3-Walka Grange - 8 - INTERNAL,"$5,760.00",,,,,,,,
,MW21178 - 2LID-06 - AYCA-32WJ4A - John St - 2 - INTERNAL,"$2,240.00",,,,,,,,
,MW21097 - 2LIV-04 - AYCA-476RM9 - NSB - 87-91 Campbell St Build,"$8,773.94",,,,,,,,
,MW21397 - AYCA-32WJ4A - 2LID-06 -  John St - 2- EXTERNAL,$847.00,,,,,,,,
,MW21325 - 2NRL-20 - AYCA-2QFUTJ - Camden Day Hospital - 1,"$2,322.69",,,,,,,,
,MW20917 - 2LID-03 - AYCA-3A485K - Lidbury Street Berala - 1 - EXTERNAL,$82.91,,,,,,,,
,MW21453 - 2LIV-04 - AYCA-2RVC4H - 100 Macquarie Street Liverpool - 1- EXTERNAL,"$20,312.55",,,,,,,,
,MW21395 - 2BTH-01 - AYCA-4LYVIU - Arndilly - 2,"$4,802.37",,,,,,,,
,MW21523 - 2EPP-62 - AYCA-20PHAM-20-28 CAMBRIDGE ST EPPING,"$1,252.59",,,,,,,,
,MW21524 -  AYCA-47C97W-2BLK-01 -51 Kildare Rd Blacktown,"$1,711.60",,,,,,,,
,MW21570 - AYCA-1L7010  - 2LID-08 - Mixed Use Development - Tower A and B,"$2,066.42",,,,,,,,
,MW21550-2HUR-65-AYCA-4SJ25V 121A Mulga Rd Oatley ,$560.00,,,,,,,,
,"MW21473 - AYCA-3TNJ90-64 - 2ERN-03 - James Sea Drive, Green Point","$5,531.99",,,,,,,,
,MW21472 - 2GRK-01 - AYCA-4G5CSP - 20 Stanley Street Wyongah,"$6,634.97",,,,,,,,
,"MW21637-AYCA-4OHMS3 - 2BLK-07 -35 Holbeche road, Arndell Park - 1","$1,586.44",,,,,,,,
,MW21649- AYCA-1Y6XJM-2KIL-61-GORDON 2 – 1,"$2,026.01",,,,,,,,
,"MW21620- AYCA-4SM2C7 - 2LIV-03-60-62 Passefield Street, Liverpool",$582.23,,,,,,,,
,MW21556  - AYCA-1XCONO -2NEW-22 - Ablin Erskineville Pty Ltd ,"$1,338.12",,,,,,,,
,"MW21642- AYCA-48KUSD-2NRN-10 - 79-85 TURNER ROAD, GREGORY HILLS","$2,107.06",,,,,,,,
,MW21651-AYCA-21BAAK-2BAN-64-Stacey Apartments - 1,"$2,761.16",,,,,,,,
,MW21705-AYCA-468RZY-2LID-04-23 RAILWAY PARADE - externals,$671.72,,,,,,,,
,MW21652-AYCA-2ILOMV - 2ASH-05-INFINTY - 1,"$1,516.81",,,,,,,,
,MW21699-AYCA-3E5O97-2ROU-03-Hancy - 1,"$3,447.12",,,,,,,,
,MW21704 - AYCA-4RDSRL - 2BLK-12-bedford gardens - 1,"$1,195.85",,,,,,,,
,MW21718-AYCA-4TB2X9- 2NRL-22-NSB - Wirrinya Pl Grasme,"$4,429.60",,,,,,,,
,MW21724-AYCA-3TP6RP-2SIL-04-Majors Bay Mortlake Residential ,"$5,248.59",,,,,,,,
,"MW21728-AYCA-4HTS7R-2RIV-03-875 RICHMOND RD, MARSDEN PARK",$731.99,,,,,,,,
,MW21756-AYCA-3K4RCM-2RIV-03-Marsden Park Tonzat Development - 2,"$21,847.48",,,,,,,,
,MW21638- AYCA-3NFID7-2PTH-04 - Tench Ave Jamisontown 1 ,"$2,209.46",,,,,,,,
,MW21791-2LID-04-AYCA-468RZY-23 Railway Parade - Internals,"$1,400.00",,,,,,,,
,MW21271  -AYCA-45TAFX  - 2MRS-03-Cooranbong - 1,"$8,383.48",,,,,,,,
,"MW21821-2NRN-10-AYCA-52OMAH-18 Bluett Dr, Smeaton Grange","$7,704.13",,,,,,,,
,"2RIV-03 - Schofield Rd, Schofield NSW - Held Orders x 2_RFQ","$15,585.13",,,,,,,,
,"2RIV-03 - Schofield Rd, Schofield NSW - Held Orders x 4_RFQ","$36,173.66",,,,,,,,
,"INC000007103438 – 8 EASTVIEW AV, LEURA",$640.71,,,,,,,,
,MW21390 - AYCA-4QG9AV - NSB - 33 Shoalhaven St Kiama,"$1,919.00",,,,,,,,
,"INC000006963999 – LOT 24, 69 VICTORIA ST, KATOOMBA","$2,498.79",,,,,,,,
,"INC000007044511 - Lot 857, 93 Leumeah Street, Sanctuary Point, NSW 2540","$3,281.35",,,,,,,,
,"INC000007193370 – 2-4 GORDON RD, LEURA ",$320.36,,,,,,,,
,"INC000007112970 – 201 KATOOMBA ST, KATOOMBA",$256.28,,,,,,,,
,Nov-17,"$174,131.98",,,,,,,,
,MW20692 - AYCA-2HTGPP - Scalabrini Village Residential,"$10,173.88",,,,,,,,
,"MW20718 - 2LJT-04-07-08 Unit 2, 234 The Entrance Road","$13,823.63",,,,,,,,
,MW21108 - AYCA-4D6F80 - 2NEW-03 - CASA - Terraces - Estate,"$19,422.12",,,,,,,,
,MW21314 - 2BLK-10 - AYCA-4NCJ90 - Fine Property Group - 1- EXTERNAL,"$1,554.10",,,,,,,,
,MW21425 - 2LIV-04 - AYCA-2IQYU1 - Macquaire St Development – 1-EXTERNAL,"$4,331.39",,,,,,,,
,MW21426 - 2PTH-05 - AYCA-3QAOV2 - Meyer Timber NSW - 1-EXTERNAL and INTERNAL,"$2,092.35",,,,,,,,
,MW21080 - AYCA-2K262F - 2MSV-05 - Rochester Park - 1,"$7,077.48",,,,,,,,
,MW21400 - 2MTT-02 - AYCA-4JV9PM - Wattle St Colo Vale - 1,"$20,693.19",,,,,,,,
,MW21041 - 2OBA-20 - AYCA-4L6PEC - NSB - Old Bar Survey,"$1,430.00",,,,,,,,
,MW21452 - AYCA-4FFBGM - 2PIT-01 - The Oaks Development,"$9,735.55",,,,,,,,
,MW21458 - 2LID-07 - AYCA-4DZEDU-2LID-07-Auburn Vista - 1 - EXTERNAL,"$8,688.33",,,,,,,,
,MW21471 - 2KIL-63 - AYCA-2T1HEY -RIDGE CENTRE - 1-E XTERNAL ,"$4,868.09",,,,,,,,
,MW21483 - 2ASH-05  - AYCA-2Y1KQS - Charles Banks  1- EXTERNAL,"$14,206.68",,,,,,,,
,MW21484 - 2ARM-04 - AYCA-2CO7SU - Brown - 1,"$7,130.71",,,,,,,,
,MW21478-2MYF-02 - AYCA-4PIZ8V  -The Furnace - 1 – EXTERNAL    ,"$5,126.94",,,,,,,,
,MW21311 - 2WAU-21 - AYCA-4N13KQ - 127 Cameron St,"$8,488.50",,,,,,,,
,MW21516 - AYCA-4TB2X9 - NSB - Wirrinya Pl Grasmere - SURVEY,$800.00,,,,,,,,
,MW21123 - 2TAR -02 - AYCA-4LIG38 - Non Standard Builds Survey,"$1,670.00",,,,,,,,
,2DAL-23-MPS-003 FttB Build,"$12,629.08",,,,,,,,
,2DAL-23-MPS-004 FttB Build,"$8,851.28",,,,,,,,
,2DAL-24-MPS-008 FttB Build,"$11,338.68",,,,,,,,
,Dec-17,"$215,654.19",,,,,,,,
,MW20764 - 2BLK-12-07 - Lot 21 Western MTQY/2 Rudders/Unit 40 - 15 Valediction,"$39,299.64",,,,,,,,
,MW21026 - 2HOR-62 - AYCA-3TQB8K - MOUNT COLAH GARDENS - 2 - EXTERNAL,"$3,968.99",,,,,,,,
,MW21031 - 2KEL-07 -AYCA-36X4LO - 7 Fairway Drive,"$14,190.70",,,,,,,,
,MW21104 - AYCA-3UHHF8-2LIV-12-25 Glenfield Road ,"$22,887.65",,,,,,,,
,MW21120 - 2EDG-62 - AYCA-4GJD8J - 10 COURT ROAD - External,"$2,014.60",,,,,,,,
,MW21006 - 2NWR-02 - AYCA-49DNJ1 - Nowra BP & McDonalds - 1-  INTERNAL AND EXTERNAL,"$11,955.35",,,,,,,,
