Company,Invoice No,Date of Invoice,Payment Month,Client,FSAM / Job,FDA,Cat,Amount,,,,,,,,,,,,,,,,
Schokmans,Inv 2472,12/22/17,1/31/18,NBN Co,NBN A417,MW21026 - 2HOR-62 - AYCA-3TQB8K - MOUNT COLAH GARDENS - 2 - EXTERNAL,NBN New Devs,"$1,793.75",,,,,,,,,,,,,,,,
Schokmans,Inv 2473,12/22/17,1/31/18,NBN Co,NBN A417,MW21505-AYCA-2AS459-2LID-05 -22-26 Ann Street Lidcombe,NBN New Devs,"$5,715.64",,,,,,,,,,,,,,,,
Schokmans,Inv 2474,12/22/17,1/31/18,NBN Co,NBN A417,MW21120 - 2EDG-62 - AYCA-4GJD8J - 10 COURT ROAD - External,NBN New Devs,"$1,523.39",,,,,,,,,,,,,,,,
Schokmans,Inv 2475,12/22/17,1/31/18,NBN Co,NBN A417,MW21026 - 2HOR-62 - AYCA-3TQB8K - MOUNT COLAH GARDENS - 2 - EXTERNAL,NBN New Devs,"$1,126.02",,,,,,,,,,,,,,,,
Schokmans,Inv 2467,12/22/17,1/31/18,NBN Co,NBN A417,"MW21386 - 2PTH-05 - AYCA-3BBYF2 - 40-50 Union Rd, Penrith",NBN New Devs,"$1,495.75",,,,,,,,,,,,,,,,
Craig Comms,Inv 1803726,1/11/18,2/28/18,NBN Co,NBN A417,"MW20686 - AYCA-1RBL6L - The North Village , Kellyville - 1",NBN New Devs,"$2,486.86",,,,,,,,,,,,,,,,
Craig Comms,Inv 1803727,1/8/17,2/28/17,NBN Co,NBN A401,MW21072 - 2PKS-20 - AYCA-49I4SO - 72 Brolgan Road ,NBN New Devs,"$2,570.91",,,,,,,,,,,,,,,,
Cylas,Inv 1038,1/22/18,2/28/18,NBN Co,NBN A417,MW21373 - AYCA-4O5GBC -  2WET-65 - 106 Chifley Street - Smithfield,NBN New Devs,"$3,516.25",,,,,,,,,,,,,,,,
Cylas,Inv 1039,1/22/18,2/28/18,NBN Co,NBN A417,MW21369 - AYCA-4EEPL6 - Rosebery Park - EXTERNAL,NBN New Devs,"$2,427.26",,,,,,,,,,,,,,,,
Cylas,Inv 1040,1/22/18,2/28/18,NBN Co,NBN A417,MW21056 - AYCA-4BYB3Q -33 Dunning Ave - 1- EXTERNAL,NBN New Devs,$568.95,,,,,,,,,,,,,,,,
Cylas,Inv 1041,1/22/18,2/28/18,NBN Co,NBN A417,MW21651-AYCA-21BAAK-2BAN-64-Stacey Apartments - 1,NBN New Devs,"$2,064.79",,,,,,,,,,,,,,,,
Cylas,Inv 1042,1/30/18,2/28/18,NBN Co,NBN A417,MW21551 - AYCA-4EN7KA - 2KNS-04 - Lewis & Co - 1,NBN New Devs,"$4,913.27",,,,,,,,,,,,,,,,
Altus,Inv 138937,12/3/17,1/31/18,NBN Co,NBN A417,MW21006 - AYCA-49DNJ1 - Nowra BP & McDonalds - 1-  INTERNAL AND EXTERNAL,NBN New Devs,"$3,269.75",,,,,,,,,,,,,,,,
Pacific Utilities,Inv 0254,1/19/18,2/28/18,NBN Co,NBN A401,MW20495 - 2CBT-09 - MPS-01 - FTTN-FTTB Construction ,NBN Minor Works,"$2,315.00",,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 115,1/28/18,2/28/18,NBN Co,NBN A417,MW21381 - AYCA-4B5X29 - 2LIV-03 - 209-213 Memorial Ave - 1- EXTERNAL,NBN New Devs,$127.27,,,,,,,,,,,,,,,,
Global Elite technologies   ,Inv 115,1/28/18,2/28/18,NBN Co,NBN A401,MW21373 - AYCA-4O5GBC -  2WET-65 - 106 Chifley Street - Smithfield,NBN New Devs,"$1,258.23",,,,,,,,,,,,,,,,
